t,0,1,2,3
1.026,(0.130539828329345+0j),(0.23076313087434702+0j),(0.230763130874347+0j),(0.4079339099219609+0j)
1.044,(0.13706655245449575+0j),(0.23315845001629285+0j),(0.23315845001629287+0j),(0.39661654751291836+0j)
1.062,(0.14462751007772728+0j),(0.23567172746782317+0j),(0.23567172746782317+0j),(0.3840290349866264+0j)
1.08,(0.15326168633047177+0j),(0.23822482216052515+0j),(0.23822482216052512+0j),(0.3702886693484777+0j)
1.0979999999999999,(0.16300867917499423+0j),(0.2407346541136111+0j),(0.2407346541136111+0j),(0.3555220125977835+0j)
1.116,(0.17390740923713127+0j),(0.24311466360450007+0j),(0.24311466360450013+0j),(0.3398632635538686+0j)
1.1340000000000001,(0.18599477561311586+0j),(0.24527634052279634+0j),(0.24527634052279634+0j),(0.3234525433412915+0j)
1.1520000000000001,(0.19930428140326464+0j),(0.2471307994352199+0j),(0.24713079943521982+0j),(0.30643411972629553+0j)
1.17,(0.2138646534351936+0j),(0.248590375119144+0j),(0.24859037511914397+0j),(0.2889545963265185+0j)
1.188,(0.22969848095707654+0j),(0.24957021294758078+0j),(0.24957021294758075+0j),(0.2711610931477619+0j)
1.2060000000000002,(0.2468208980014204+0j),(0.24998982853477264+0j),(0.24998982853477272+0j),(0.25319944492903423+0j)
1.224,(0.26523833364232846+0j),(0.2497746114787899+0j),(0.24977461147878993+0j),(0.23521244340009181+0j)
1.242,(0.2849473535008859+0j),(0.24885724885927124+0j),(0.24885724885927135+0j),(0.21733814878057173+0j)
1.26,(0.30593361460688984+0j),(0.2471790453520822+0j),(0.24717904535208232+0j),(0.19970829468894571+0j)
1.278,(0.3281709541193748+0j),(0.2446911183896843+0j),(0.24469111838968435+0j),(0.18244680910125669+0j)
1.296,(0.3516206304675553+0j),(0.2413554487022161+0j),(0.2413554487022161+0j),(0.16566847212801267+0j)
1.314,(0.37623073322757294+0j),(0.23714576879021107+0j),(0.23714576879021107+0j),(0.14947772919200503+0j)
1.332,(0.4019357755331737+0j),(0.23204827437121736+0j),(0.23204827437121736+0j),(0.13396767572439175+0j)
1.35,(0.42865648006887125+0j),(0.22606214657074938+0j),(0.22606214657074944+0j),(0.1192192267896301+0j)
